Email,Gender,Age,Address,Avg. Session Length,Time on App,Time on Website,Length of Membership,Product Purchase ID
jared39@hotmail.com,Female,20,"739 David Isle Suite 818
Chandlertown, DC 34587",33.4610563,10.86916381,35.62244242,3.471413452,13945
briancarlson@page-fleming.com,Female,51,"USCGC Gill
FPO AA 26496",32.17550124,13.38749211,35.69417499,4.343062915,13954
joshuaodom@gmail.com,Female,51,"5277 Patel Brook
East Audrey, NJ 19075",32.72836,13.10450724,38.87804051,2.820097234,13996
vickie90@lee-wilson.com,Female,49,"9135 Rodriguez Dam
Ramirezberg, MS 77223",32.82030995,11.63489325,35.36862633,4.124585297,14033
duane56@hotmail.com,Female,17,"24373 Mcgee Drive Apt. 990
New Mariahaven, NH 14470",33.61603789,11.9363865,38.768641,3.649286158,14061
enash@gmail.com,Female,32,"997 Campbell Flat Suite 970
East Amanda, PW 22048",31.72165236,11.7550237,36.76572236,1.847370423,14070
sandraharrison@bailey-gordon.net,Female,38,"7835 Rogers Roads
East Amberhaven, MI 70835-2286",32.86532717,11.98441752,37.0443614,3.452388583,14563
cunninghamwilliam@hotmail.com,Female,52,"4589 Dan Fords
Beasleyburgh, ME 96590-8272",32.74936818,9.954975969,37.38831487,4.650491269,14715
teresaallen@hill-leach.info,Female,28,"1958 Robert Bridge Apt. 250
Malloryland, ID 03393-5336",32.56723048,12.48901322,36.37147981,4.222436225,15046
rhonda96@little.org,Female,38,"2977 Perez Row
Lake Jack, TN 45336-9436",32.07054622,11.73310622,37.53429101,4.671275461,15452
lisacabrera@yahoo.com,Female,47,"9801 Thomas Pike Suite 058
Brandishire, AK 88122-1314",33.01954799,10.63456132,37.49669015,4.646119977,16000
jasonrichardson@elliott.com,Female,50,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",33.79203908,12.50752537,37.14286198,4.214495086,16003
hoovernicole@dorsey.net,Female,32,"69403 Hernandez Knolls
Marciashire, DE 36417-5667",32.89398062,11.52987821,36.88808605,4.64325855,16112
christopher20@gmail.com,Female,23,"USNV Fuller
FPO AE 32122-5711",32.04448613,13.41493474,36.11243501,2.258686387,16309
brianwilson@yahoo.com,Female,24,"448 Stewart Divide
New Ashleyfort, FM 84050",34.55576799,12.17052542,39.13109673,3.663105491,16329
gonzaleskatie@gmail.com,Female,29,"70129 Darrell Spring
Thomasmouth, HI 39319-2739",34.56455771,13.14655143,37.33544589,3.876875177,16394
lsmith@chung.com,Female,49,"412 Jackson River
Kleinburgh, KS 52039-7404",32.7267846,12.98851015,36.46200326,4.113226123,16668
dongarcia@hotmail.com,Female,48,"546 Benjamin Lights Suite 421
Romerofurt, NC 43746-4501",33.11721873,11.86412636,36.58272777,3.202531199,16669
kimberly46@garcia-nelson.biz,Female,47,"4066 Gonzalez Dam Apt. 277
West Jessica, TN 36880",31.66104982,11.39806419,36.5944567,3.198399272,552
william82@gmail.com,Female,45,"11143 Park Squares
Samanthatown, UT 97073",33.25633547,13.85806246,37.78026469,5.976768126,580
brenda82@maldonado-gonzalez.net,Female,45,"645 Elizabeth Pass
Williamview, MS 51544",33.90022441,10.95679097,37.26687826,2.952668958,4696
josephgould@west.info,Female,32,"861 Annette Stream Suite 771
North Miguel, CA 33824-1610",34.18777483,10.32011626,37.4534051,2.094891706,5644
wbrady@yahoo.com,Female,36,"044 Riggs Expressway
Lake Stevenchester, AL 22283",33.76206924,9.984514397,35.9334493,3.855471685,6284
smithtracey@mcgee.com,Female,20,"PSC 4508, Box 7961
APO AA 55271-2375",34.39016366,12.64519514,38.46832111,2.87459691,6493
amberchase@fowler.info,Female,42,"1867 Gregory Isle Suite 022
Port Tammy, LA 52305-9696",33.9252966,11.58865542,35.25224202,3.392050489,6726
gregoryholmes@hotmail.com,Female,45,"2891 Martin Plain Suite 197
Melaniestad, NE 65650-8529",32.6882293,13.76153285,39.25293095,2.995761183,6742
jeffreydawson@gmail.com,Female,23,"9944 Trevor Expressway
Robinsonstad, OR 34630-1840",34.30187022,10.56829469,36.17312563,3.315224754,7195
rjohns@gmail.com,Female,53,"264 Derek Dam Apt. 680
West Danielle, SD 91517-8611",32.84393022,11.83228622,36.81401056,3.471919137,7783
john85@martin-morgan.com,Female,46,"USNV Reese
FPO AA 73568-0730",33.75499473,12.06415663,37.27122169,3.970555628,7936
vcoleman@yahoo.com,Female,50,"7761 Hughes Curve Apt. 880
Rodriguezberg, MN 96206-5317",33.87978429,12.4955916,38.05260975,4.639320332,8060
floresarthur@yahoo.com,Female,31,"12612 Johnson Skyway Suite 764
Jessicaville, CT 14968-6590",33.07653561,9.607314688,36.49399255,5.081210092,8552
ryan36@gmail.com,Female,33,"5379 Rhonda Prairie Apt. 696
Brownland, WA 87027",32.22729914,13.72862718,37.99702801,4.802630631,9071
chris67@ryan.biz,Male,27,"716 Bush Greens Apt. 098
Trevorton, MA 17817-8000",32.78977262,11.67006592,37.40874848,3.414688423,9312
katie25@gmail.com,Male,33,"6861 Lopez Fork Apt. 114
South Jamiechester, DE 63993",32.77260993,13.27631301,36.60077705,3.462298847,9314
kyang@diaz.org,Male,55,"223 Love Trail Suite 831
Port Jeffrey, IN 46849",34.37425805,15.12699429,37.15762409,5.377593584,9355
tadams@contreras.info,Male,52,"049 Matthew Terrace
Lake Matthew, MS 20210",33.07871721,12.69578975,35.35844431,4.001786346,9546
craigcastro@burgess.com,Male,55,"65407 Warner Forges Suite 071
New Lori, AZ 30132-2395",32.8052204,11.83547609,36.37506611,3.43959056,9646
ellen24@anthony.com,Male,30,"PSC 3408, Box 3353
APO AE 05113-1257",32.43075793,11.30623234,37.68040323,2.779520719,10101
davisrobert@hicks-smith.com,Male,48,"95967 Pitts Burgs
West Sarah, MH 27817-5147",32.17909997,11.18753891,40.00518164,3.552649767,10102
walkerlaura@peterson-yates.com,Male,23,"89154 Jones Stream Suite 311
East Katie, NC 72742-1516",33.15417579,11.88749413,36.2650007,2.602287112,10640
marc54@hotmail.com,Male,53,"Unit 6174 Box 1949
DPO AP 27478",34.33589584,12.22893471,36.15719115,4.694322274,11338
gregoryrussell@yahoo.com,Male,18,"55436 Devon Plain
West Kendraberg, HI 18826-3623",32.38625186,10.67465347,38.00658318,3.401522345,11801
williamsjohnny@ferguson.info,Male,29,"51920 Kent Junctions Apt. 352
Walkerport, NY 11257-6647",32.80869759,12.81711309,37.03153922,3.8515788,13155
haydenrebecca@gmail.com,Male,21,"10022 Wilson Orchard Suite 107
Harrisstad, MH 99272",33.87974497,13.58780608,38.26035344,3.258112883,13202
langmatthew@hotmail.com,Male,25,"606 Perez Drives
Maryside, CO 94387-5877",32.04983939,12.23805735,38.73086174,3.120568915,13213
david43@richards.com,Female,15,"967 Andrew Spurs
Mathistown, CO 28230",33.55520742,11.55182117,36.62883429,2.837943164,13580
paulkemp@yahoo.com,Male,28,"PSC 9698, Box 5466
APO AE 75496-3580",33.14207933,11.43337993,35.89243163,4.470282584,13581
fbryant@gmail.com,Male,33,"284 Jennifer Curve
Lake Hollyberg, IN 05228",32.59718266,10.88956686,38.21257083,4.442054329,13700
kimberlyfrederick@gmail.com,Male,33,"71299 Jessica Shoals
East Mark, IA 48085-1070",33.16713688,11.92884209,36.91463331,3.164943995,13701
sharon82@saunders.info,Male,46,"873 Clay Flats Apt. 810
Lake Kyle, GU 48782",31.51473786,12.59567131,39.60037647,3.751734552,13945
fishermichael@ramos.com,Female,24,"565 Duarte Keys Suite 293
Traceytown, IN 17797",34.59402115,10.94725858,35.88399439,3.159754444,13954
ilawson@hotmail.com,Male,22,"19018 Christopher Neck Apt. 963
Mcintoshchester, IA 66908-2456",33.50136982,13.89808199,37.05891282,4.130562809,13996
shafferdaniel@murphy-harris.info,Male,54,"USCGC Thomas
FPO AP 43708-2468",32.40237102,10.87555955,37.78114256,1.914089924,14033
stevenanderson@yahoo.com,Male,25,"5401 Holt Corner Apt. 195
Hannahstad, NC 86693-3595",34.65548568,10.3380727,36.15725594,4.396651901,14061
richard16@boyer-pratt.com,Female,52,"4568 Jeffrey Lane Apt. 512
South Jason, WV 78116-0966",31.80930032,11.63466822,36.18253928,5.113319475,14070
hyoung@jones.info,Female,41,"73469 Baker Forest Apt. 550
Allenbury, TX 63791",33.8777793,12.51766629,37.15192066,2.669941624,14563
erik46@hotmail.com,Male,20,"20711 Martin Harbors Apt. 582
New Justinborough, AK 40834-2664",34.44787144,10.60772387,36.81909551,3.366463743,14715
rojasmichael@wagner-thomas.com,Male,40,"7602 Scott Plaza Apt. 158
Lake Amberland, VI 10516-3276",31.95630056,12.8288934,36.95161668,4.571213024,15046
lance88@briggs.com,Male,33,"16001 Wilkins Island Suite 852
Jonathanfort, AL 88541-7817",32.60558364,12.06881608,36.1050005,3.917451119,15452
anthony09@hotmail.com,Male,43,"5118 Madden Views Apt. 738
North Barryport, AS 28731-2270",32.4914466,12.53035737,37.8752191,2.476139051,16000
audreyjohnson@rosales.com,Female,31,"USCGC Nicholson
FPO AE 43987-0470",33.61601855,13.5162843,36.77312349,4.125584363,16003
beth76@yahoo.com,Male,38,"4522 Paul Heights Suite 851
Adamsland, RI 08981",33.47160053,11.66226343,36.05024078,3.997255378,16112
larrywest@davis.com,Male,33,"21918 Gail Glens
Barbershire, SD 45790-8387",33.71065306,13.66474788,37.72438616,1.36267408,16309
raylopez@hotmail.com,Male,52,"3600 Amber Plains Suite 002
North Jamesburgh, VA 07917",32.1977238,11.83023109,36.6338567,4.193324636,16329
middletonrenee@gmail.com,Female,33,"71757 David Freeway Apt. 851
West Carriefurt, NC 27106-3364",32.46121245,13.29114305,38.63362565,3.8710034,16394
grichardson@ryan.info,Female,49,"79139 Boone Common
Stewartstad, DE 63633-1812",33.79038721,11.94234087,38.06341359,4.081802695,16668
esmith@gmail.com,Male,33,"USS Johnson
FPO AE 35617-5384",34.18382052,13.34991294,37.82739423,4.252006106,16669
michael53@munoz.com,Male,30,"USNS Mitchell
FPO AP 92946",32.28866691,12.02011209,39.07440021,3.911708668,13701
jacqueline46@mcdonald-smith.biz,Male,35,"3794 Michael Forest Apt. 750
New Stephenberg, MD 61004-0181",33.82635201,12.08409173,35.89035796,3.021671822,13945
briannasantana@gmail.com,Male,49,"88978 Noble Crest
North Rosemouth, FM 53484-6689",32.49839307,13.41075918,35.99048895,3.184618662,13954
mark52@yahoo.com,Female,27,"82227 Farmer Throughway Suite 266
Leeborough, WV 35324",31.8854063,11.28193107,37.38531755,2.877224878,13996
acampbell@sanchez-velasquez.info,Male,45,"5791 Jessica Cove
Mckinneyborough, OK 64460-7536",32.42569728,11.44890154,37.58019043,2.586967985,14033
qgarcia@williams.com,Male,41,"465 Kenneth Common Apt. 192
North Tracy, WI 36024-8978",33.43782956,12.59542035,36.2620318,2.969640227,14061
jenniferking@hess.net,Male,18,"06939 Jones Neck
Mariaview, VT 87641",31.38958548,10.99422392,38.07445242,3.428859904,14070
taylor91@hotmail.com,Female,47,"3132 Willie Harbor
Kaylafurt, FL 01107",33.46869995,13.08550576,35.84582711,2.926940235,14563
afry@ford.biz,Female,37,"399 Jeremy Skyway Suite 377
North Keithville, IL 55074",32.2917561,12.19047429,36.15246209,3.781823039,14715
amandadean@gmail.com,Male,44,"66880 Mckinney Hills
Matthewchester, MH 88386",32.06377462,10.71914974,37.71250864,3.004742536,15046
brenda68@hotmail.com,Male,28,"0377 Reed Via Apt. 169
Alexandershire, MO 43498",33.1556997,12.93155027,38.16643556,3.854473856,15452
bakerdrew@gmail.com,Male,45,"39637 Griffin Plain Suite 691
New Deborahview, MP 73870-3773",33.35687434,13.45212896,38.50300885,3.318822279,16000
connorlambert@yahoo.com,Male,42,"931 Andrews Heights
South Shelley, NV 21850",31.8530748,12.14937549,37.32533422,3.361814624,16003
tknapp@yahoo.com,Female,54,"15810 Karl Plain
Davidville, TX 64072",32.01230077,12.17833133,37.71598618,3.722561173,16112
garcialisa@yahoo.com,Male,26,"46079 Gonzalez Loaf
Williamside, PA 72265",32.38845163,11.01048213,38.41504158,3.54354705,16309
josephallen@hotmail.com,Male,31,"3144 Jamie Rest
Maxwellville, NC 93749-1190",32.65318146,11.60253219,37.30968877,2.789461516,16329
hailey18@yahoo.com,Male,51,"08079 Thompson Village
North Lukeborough, AL 16825",32.93133644,12.73221159,35.60082055,5.485976734,16394
whess@hotmail.com,Female,18,"29282 Alexander Street
South Andrewmouth, MS 22041",33.2356065,11.22336889,37.69230086,2.594189721,16668
josesims@hunter.com,Female,30,"8830 Debra Loaf Apt. 341
Drakeville, ME 22340",33.9257949,12.01102188,36.70105232,2.753424169,16669
dtaylor@webb.com,Male,35,"18219 Jackson Well
Fosterton, MP 85302",33.05926409,11.7259101,35.9990993,5.004820577,16741
briangonzales@gmail.com,Male,18,"572 Michelle Motorway Apt. 889
New Craig, ND 17250",32.40173183,12.08930957,38.3099079,3.873337569,16758
jared99@yahoo.com,Male,45,"PSC 0811, Box 7054
APO AA 91691",33.88994101,13.06863858,37.54052036,3.798725319,16765
qchristian@martinez-allen.com,Male,39,"26737 Brooks Roads
Vincentstad, VA 93089",34.56938122,12.85499037,35.00748226,3.292797663,16774
ngarcia@donaldson.info,Female,54,"662 Wells Stravenue Apt. 578
South Kristaview, DC 49423-2452",33.7016052,11.56402237,37.67321037,4.716104987,16877
scastillo@hotmail.com,Male,47,"0922 Gutierrez Loaf
Wattsbury, OH 96315",33.26833022,11.1133299,37.38794554,4.01872661,17067
joshua56@garcia.com,Male,19,"38154 Davis Locks
Lake Stevenfort, KY 86814-9222",31.35847719,12.80988347,36.54966799,3.63770128,17094
richard81@day.org,Male,55,"7955 Samantha Walk Suite 230
North Luis, IL 44629",33.01479222,11.76117233,37.57016384,3.834169667,17187
jessica97@hotmail.com,Female,16,"32202 Curtis Branch Apt. 411
Port Brettmouth, KY 01192-0594",31.57613197,12.57989417,37.09326487,4.531986607,17191
angelaphillips@gmail.com,Female,32,"102 Karen Court
New Jameston, SC 57761-6570",32.65726859,11.95792306,36.63465233,4.106055152,17220
donald67@harrison.com,Male,34,"9759 Tammy Skyway Apt. 171
Lake Debra, AS 95011",34.7093233,10.65179378,37.14600653,3.218265385,17372
zmalone@yahoo.com,Male,25,"PSC 6717, Box 7673
APO AE 66950-0088",34.53665918,12.75207661,36.71413784,3.283663455,17417
rlindsey@norris.com,Male,37,"581 Smith Prairie Suite 995
Andersontown, AS 58802",32.77171501,11.54083244,37.52642103,2.924020725,17479
lewisgabrielle@hotmail.com,Male,17,"422 Rivers Springs Suite 221
North Barbara, WI 51990-7596",33.70040046,11.92439492,37.24503247,3.905250309,17596
kristina69@gmail.com,Female,29,"2859 Rodriguez Forks
Port Josephtown, OH 13591-3011",32.43977025,12.42413041,38.94882503,4.920318406,17653
krista86@norton.net,Male,50,"0537 Rice Village
West Kylieberg, NJ 19433-5090",34.312167,11.81058676,37.41413357,2.473596121,17872
chelsea05@hansen.com,Male,18,"7182 Stephen Fork Suite 150
Port Laurachester, CO 99974-1961",32.45517629,12.75916898,36.59911235,4.131276648,17873
jill33@allen.com,Male,23,"459 Amy Burg
Lake Travis, OR 53314",33.54097679,11.85189083,37.42454792,1.767730708,17906
welchashlee@hotmail.com,Female,39,"PSC 8159, Box 3254
APO AP 71071-4890",33.35839828,12.70368793,36.10091445,2.724108202,18040
dawnlewis@watkins.org,Female,30,"623 Erica Flat
Lake Josephland, MT 73514",32.68612926,12.21525242,36.59436168,3.89711586,18087
ashleychristopher@gmail.com,Male,30,"9271 Christopher Prairie
Douglasshire, NM 18581",34.55829461,11.281445,36.49440648,2.491671541,18202
acontreras@hotmail.com,Male,32,"88995 Edwards Row Suite 456
North Jo, DE 02062-7953",33.54774794,10.73536292,37.45837473,3.863425442,18441
alvaradoadam@jones-thompson.com,Male,15,"35970 Holly Key
Port Frank, VT 78059-9385",31.95490386,10.96313178,37.32728269,3.5786339,18516
thomasgeorge@gonzalez-grant.com,Male,34,"93306 Donald Greens
New Christopherbury, SC 59447",31.06621816,11.73509455,36.59937399,3.958892264,18524
solischristina@gmail.com,Female,43,"43102 Russo View Suite 717
Hollyport, SC 15344",31.85125313,12.41896198,35.97765171,3.25174177,18564
jacksonboone@rubio.com,Male,37,"973 Marc Ports
Brownstad, IN 48786-6700",32.60928264,10.53730754,35.7305524,3.914384667,18567
kaitlyn78@chang.com,Male,17,"978 Bean Square
Deanburgh, OR 95149",32.11511907,11.9192424,39.29404346,1.443515075,18837
francisgeorge@thomas.org,Male,37,"27563 Vincent Lake
Allenchester, DC 22159",33.92462481,11.91141556,38.2747022,2.910037917,18960
linda90@yoder.org,Female,30,"979 Alison Motorway Apt. 676
North Frank, HI 55870-2651",33.4771904,12.488067,36.51838359,3.345570976,18970
david79@lopez-montes.com,Female,52,"969 William Manor
West Sherry, MA 66282-2258",32.11640012,12.38069498,37.23200331,3.089527782,19112
micheleblanchard@lopez-greene.com,Male,27,"555 Hunt Track Suite 307
South Kristi, PA 73709",32.2559012,10.48050683,37.33866962,4.514122441,19132
pmercado@rodriguez.com,Male,55,"811 Maria Run
Sanchezville, MI 04953",32.69239222,12.29651768,36.95155521,1.825884669,19141
james30@carter.biz,Male,41,"3604 Richard Junctions Suite 448
Brownburgh, CO 64856-8238",32.38473266,10.8616042,36.58443762,3.993656513,19204
parkerkayla@miles.com,Male,38,"170 Andrew Mews
North Susan, NM 85338-2426",34.33872939,10.71635514,38.30720401,2.652158305,19358
alicia85@lee.com,Female,43,"14220 Carla Flat Suite 521
Lake Matthew, DE 06183",32.88710465,12.38718417,37.4311591,6.401228838,19604
dominguezjacob@hotmail.com,Male,25,"8594 Erica Manors Apt. 529
Lake Miguel, MH 10652-9266",32.51021799,10.98483589,37.39649748,5.391275125,19628
ebrown@osborne.com,Male,49,"4291 Nichols Fork Apt. 562
Thomaschester, SC 08938-8769",31.94539575,12.96576148,36.9663889,6.076653638,19631
nathan86@hotmail.com,Male,52,"748 Michael Plaza
West Billyside, UT 20799",36.13966249,12.05026723,36.95964319,3.864860739,19672
aaron11@luna.com,Female,39,"672 Jesus Roads Apt. 443
Thompsonland, WY 69228",32.44952156,13.45772494,37.23880567,2.941410754,19676
fsnow@ellis.com,Female,42,"0272 Jones Way
Lake Angela, MP 97003-5793",32.29464155,12.44304789,37.32784804,5.084861309,20447
asilva@yahoo.com,Male,27,"USNV Johnson
FPO AP 19026",34.60331112,12.20729849,33.91384725,6.922689335,20448
casey21@johnson.com,Male,41,"691 Johnson Field Apt. 510
Michaelville, VI 78140",33.59852032,11.58631953,39.09462703,3.60439856,20450
campbellross@yahoo.com,Male,51,"6218 Michael Station Apt. 982
Salazarburgh, NJ 79955",34.56868085,11.37808709,38.30447119,3.78493211,20453
blevinseric@stephens.com,Male,30,"PSC 3676, Box 1549
APO AE 26130-7683",32.83810016,12.3643416,38.03910939,3.309182328,20454
stevenking@patterson.com,Female,30,"94730 Martin Mount
New Matthew, VI 08142-6708",33.50370518,12.39943608,35.01280603,0.968622116,20458
samuel94@hotmail.com,Male,22,"5480 Vazquez Crossing Suite 825
East Christopherland, PA 42104",33.30188161,12.54248105,38.3113649,3.768561963,20459
johnsonpaul@keller-woodard.org,Male,29,"USCGC Dodson
FPO AA 87781-3935",30.87948434,13.28043224,36.93615938,3.585160635,20461
twilliams@gibbs.net,Male,44,"Unit 6678 Box 6628
DPO AP 44369",33.15425476,11.79588668,37.65861691,4.520353377,20466
teresapacheco@salinas.biz,Female,33,"75805 Larry Mills
East Cristian, MH 53820",32.04780098,12.71803917,37.66110668,3.6758488,20532
allison80@carson-hansen.com,Female,45,"04311 Oconnor Park Apt. 415
Kelleystad, ND 63064-8935",33.63080077,12.03964784,38.92408705,2.873007509,20534
turnerryan@hotmail.com,Male,23,"770 Lewis Pike Apt. 869
Phelpsport, PA 93969-4887",34.04663803,12.47445545,35.03785616,4.055775962,21047
walkererica@scott.com,Male,28,"86536 Barnes Track
South Kyle, MT 21570-5606",33.644177,13.16002004,36.40774745,3.015175299,21175
mark94@yahoo.com,Male,24,"586 Timothy Union Suite 592
East Joseph, MO 81374",32.65462161,11.05232365,37.63300942,4.717102513,21182
daniellecuevas@hotmail.com,Male,42,"9287 Daniel Rest Apt. 608
Allentown, SD 73050",33.42874704,10.63676108,37.57883524,2.926396449,21267
gbarnes@gmail.com,Female,30,"8667 Suzanne Motorway Suite 241
Spencechester, KY 74385-4618",31.86483255,13.44340599,36.87831537,2.361086947,21268
cody68@hotmail.com,Male,53,"374 Dana Junctions
Langside, WI 36474",34.48238805,13.28303287,35.90729843,4.968742674,21297
fischermonica@gmail.com,Male,40,"9847 Michael Plaza Suite 837
Lake Christophershire, NV 87324-8427",32.52976873,11.7477317,36.93988205,0.80151572,21554
brenda25@gmail.com,Male,47,"353 Jones Loaf Apt. 767
South Michaelburgh, PR 16281-4840",33.4322314,10.85960853,38.83567008,3.669225611,13701
david58@yahoo.com,Female,45,"6058 Thomas Divide
Matthewland, PA 89442-8198",33.30857162,11.69168613,37.48091198,1.715777167,13945
clifford76@johnson.com,Female,37,"8032 Hodge Circle Apt. 255
Lake Jessicashire, OR 54914",32.33263707,11.54876144,38.57651555,4.773503047,13954
jacquelinehughes@bennett-branch.info,Male,26,"601 Ashley Loop Suite 162
Port Benjaminview, DE 02456",34.71345123,11.72400223,36.81385766,4.087837273,13996
victoria53@hotmail.com,Male,42,"16329 Sara Neck Apt. 463
Bryanside, TX 62329",32.635878,12.17857308,35.67425603,4.13175504,14033
cunninghamkyle@ellis-parker.org,Male,18,"449 Williamson Lakes Apt. 118
Travisville, AK 06848-0177",33.07570303,12.31984506,37.81915511,3.442799202,14061
jjones@yahoo.com,Male,17,"047 Carla Locks
Coreymouth, AR 98066",32.23014912,11.08436084,37.95968432,4.72402744,14070
michaelferguson@torres-miles.net,Female,54,"757 Amber Gateway Apt. 787
New Stephaniechester, OR 61576-6056",34.14286337,13.17777453,38.85604171,3.230973843,14563
crawforderik@price.org,Male,35,"5183 Michael Ramp
East Lukeburgh, FL 93972",32.49719846,12.83280284,37.67924462,2.972271382,14715
jlawson@mccarthy.com,Male,20,"0127 Morgan Fields Apt. 080
Thompsonfurt, ME 01160-7043",33.12239998,11.509048,37.25305774,3.182329732,15046
marshchristopher@zimmerman-villegas.com,Male,22,"667 Stephanie Lake Apt. 658
Marthashire, NC 11815-2307",33.08852937,11.85766344,36.08693433,4.806349619,15452
oolson@collins.com,Female,52,"07867 Horn Lake
West Teresatown, VT 64387-1228",32.53379686,12.29336584,37.0646212,3.620364988,16000
isaiahcampbell@yahoo.com,Female,48,"55414 Ramirez Union Apt. 614
West Crystal, CA 03845-2631",32.48426048,10.93325228,36.54550623,3.261324745,16003
kcannon@alvarez-cline.info,Male,28,"55479 Peters Field Apt. 702
North Micheleberg, PR 45063",32.54345917,13.33283928,37.96439033,3.597459969,16112
nielsencarmen@harrell.net,Male,49,"2491 Yates Crest Suite 316
Connieville, FL 92080-0819",32.28312306,10.90255623,36.09424195,4.789201624,16309
efreeman@moore.com,Male,16,"223 Powell Ridges
East Richardtown, RI 90715-2178",32.20079864,12.27698171,38.23260623,3.316464745,16329
roblessarah@hotmail.com,Male,39,"022 Taylor Mews Suite 692
Hallberg, NJ 53614",34.71331651,12.03880824,37.63529941,4.632460946,16394
